Repository,Group,Name,Version,Release Date,EOL Date,Past EOL,Latest Version,Release Date
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.netbeans.external","gradle-tooling-api","RELEASE250", "2025-02-14", "null" , "null" ,"RELEASE250" ,"2025-02-14"
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.springframework","spring-aop","5.3.9", "2021-07-14", "2023-06-30" , "true" ,"7.0.0-M2" ,"2025-02-13"
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.slf4j","slf4j-simple","2.0.7", "2023-03-17", "null" , "null" ,"2.1.0-alpha1" ,"2024-01-02"
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.apache.logging.log4j","log4j-core","2.12.3", "2021-12-20", "2021-12-14" , "true" ,"3.0.0-beta3" ,"2024-11-09"
"/Users/Regis/projects/eolChecker/eolChecker/lib","com.fasterxml.jackson.core","jackson-databind","2.15.2", "2023-05-30", "null" , "null" ,"2.18.3" ,"2025-02-28"
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.junit.jupiter","junit-jupiter","5.8.1", "2021-09-22", "null" , "null" ,"5.12.0" ,"2025-02-21"
"/Users/Regis/projects/eolChecker/eolChecker/lib","dnsjava","dnsjava","2.1.9", "2019-05-25", "null" , "null" ,"3.6.3" ,"2025-01-26"
"/Users/Regis/projects/eolChecker/eolChecker/lib","org.slf4j","slf4j-api","2.0.7", "2023-03-17", "null" , "null" ,"2.1.0-alpha1" ,"2024-01-02"
"/Users/Regis/projects/zuul/zuul-core","com.google.errorprone","error_prone_core","2.36.0", "2024-11-19", "null" , "null" ,"2.36.0" ,"2024-11-19"
"/Users/Regis/projects/zuul/zuul-core","javax.inject","javax.inject","1", "2009-10-13", "null" , "null" ,"1" ,"2009-10-13"
"/Users/Regis/projects/zuul/zuul-core","org.openjdk.jmh","jmh-generator-annprocess","1.+", "2023-08-03", "null" , "null" ,"1.37" ,"2023-08-03"
"/Users/Regis/projects/zuul/zuul-core","org.slf4j","slf4j-api","2.0.16", "2024-08-10", "null" , "null" ,"2.1.0-alpha1" ,"2024-01-02"
"/Users/Regis/projects/zuul/zuul-core","org.openjdk.jmh","jmh-generator-bytecode","1.+", "2023-08-03", "null" , "null" ,"1.37" ,"2023-08-03"
"/Users/Regis/projects/zuul/zuul-core","com.google.errorprone","javac","9+181-r4173-1", "1970-01-01", "null" , "null" ,"9-dev-r4023-3" ,"2017-08-17"
"/Users/Regis/projects/zuul/zuul-core","io.perfmark","perfmark-api","0.27.0", "2023-12-21", "null" , "null" ,"0.27.0" ,"2023-12-21"
"/Users/Regis/projects/zuul/zuul-core","org.mockito","mockito-junit-jupiter","5.+", "2025-03-03", "null" , "null" ,"5.16.0" ,"2025-03-03"
"/Users/Regis/projects/zuul/zuul-core","com.netflix.archaius","archaius-core","0.7.12", "2024-03-28", "null" , "null" ,"2.0.0-rc.7" ,"2015-04-16"
"/Users/Regis/projects/zuul/zuul-core","io.reactivex","rxjava","1.3.8", "2018-03-31", "null" , "null" ,"1.3.8" ,"2018-03-31"
"/Users/Regis/projects/zuul/zuul-core","com.google.truth","truth","1.4.4", "2024-07-12", "null" , "null" ,"1.4.4" ,"2024-07-12"
